LocationType,Location,Single Age,TimeFrame,DataFormat,Data
State,Ohio,<1,1998,Number,148856
State,Oklahoma,<1,1998,Number,47403
State,Oregon,<1,1998,Number,43559
State,Pennsylvania,<1,1998,Number,140879
State,Rhode Island,<1,1998,Number,12411
State,South Carolina,<1,1998,Number,52321
State,South Dakota,<1,1998,Number,9845
State,Tennessee,<1,1998,Number,73506
State,Texas,<1,1998,Number,328046
State,Utah,<1,1998,Number,43406
State,Vermont,<1,1998,Number,6294
State,Virginia,<1,1998,Number,90253
State,Washington,<1,1998,Number,77778
State,West Virginia,<1,1998,Number,19970
State,Wisconsin,<1,1998,Number,61536
State,Wyoming,<1,1998,Number,6095
Territory,Puerto Rico,<1,1998,Number,N.A.
Territory,Puerto Rico,<1,1999,Number,N.A.
State,Wyoming,<1,1999,Number,6070
State,Wisconsin,<1,1999,Number,65920
State,West Virginia,<1,1999,Number,20075
State,Washington,<1,1999,Number,77332
State,Virginia,<1,1999,Number,91863
State,Vermont,<1,1999,Number,6329
State,Utah,<1,1999,Number,44276
State,Texas,<1,1999,Number,332378
State,Tennessee,<1,1999,Number,74673
State,South Dakota,<1,1999,Number,10011
State,South Carolina,<1,1999,Number,53472
State,Rhode Island,<1,1999,Number,12244
State,Pennsylvania,<1,1999,Number,140732
State,Oregon,<1,1999,Number,43923
State,Oklahoma,<1,1999,Number,47326
State,Ohio,<1,1999,Number,148182
State,North Dakota,<1,1999,Number,7547
State,North Carolina,<1,1999,Number,109781
State,New York,<1,1999,Number,243244
State,New Mexico,<1,1999,Number,26508
State,New Jersey,<1,1999,Number,110153
State,New Hampshire,<1,1999,Number,14019
State,Nevada,<1,1999,Number,28837
State,Nebraska,<1,1999,Number,23110
State,Montana,<1,1999,Number,10618
State,Missouri,<1,1999,Number,72433
State,Mississippi,<1,1999,Number,41147
State,Minnesota,<1,1999,Number,64417
State,Michigan,<1,1999,Number,130339
State,Massachusetts,<1,1999,Number,77731
State,Maryland,<1,1999,Number,69781
State,Maine,<1,1999,Number,13349
State,Louisiana,<1,1999,Number,64309
State,Kentucky,<1,1999,Number,52771
State,Kansas,<1,1999,Number,37717
State,Iowa,<1,1999,Number,36894
State,Indiana,<1,1999,Number,83904
State,Illinois,<1,1999,Number,173288
State,Idaho,<1,1999,Number,19493
State,Hawaii,<1,1999,Number,15523
State,Georgia,<1,1999,Number,119807
State,Florida,<1,1999,Number,187719
City,District of Columbia,<1,1999,Number,6458
State,Delaware,<1,1999,Number,10223
State,Connecticut,<1,1999,Number,42660
State,Colorado,<1,1999,Number,60120
State,California,<1,1999,Number,485647
State,Arkansas,<1,1999,Number,35851
State,Arizona,<1,1999,Number,77506
State,Alaska,<1,1999,Number,9265
State,Alabama,<1,1999,Number,58787
Nation,United States,<1,1999,Number,3795762
Nation,United States,<1,2000,Number,3855956
State,Alabama,<1,2000,Number,59617
State,Alaska,<1,2000,Number,9445
State,Arizona,<1,2000,Number,78966
State,Arkansas,<1,2000,Number,36428
State,California,<1,2000,Number,492631
State,Colorado,<1,2000,Number,61926
State,Connecticut,<1,2000,Number,43184
State,Delaware,<1,2000,Number,10412
City,District of Columbia,<1,2000,Number,6577
State,Florida,<1,2000,Number,189540
State,Georgia,<1,2000,Number,122726
State,Hawaii,<1,2000,Number,15708
State,Idaho,<1,2000,Number,19973
State,Illinois,<1,2000,Number,175439
State,Indiana,<1,2000,Number,85337
State,Iowa,<1,2000,Number,37668
State,Kansas,<1,2000,Number,38430
State,Kentucky,<1,2000,Number,53633
State,Louisiana,<1,2000,Number,64596
State,Maine,<1,2000,Number,13567
State,Maryland,<1,2000,Number,70434
State,Massachusetts,<1,2000,Number,78850
State,Michigan,<1,2000,Number,132503
State,Minnesota,<1,2000,Number,65826
State,Mississippi,<1,2000,Number,41567
State,Missouri,<1,2000,Number,73526
State,Montana,<1,2000,Number,10821
State,Nebraska,<1,2000,Number,23695
State,Nevada,<1,2000,Number,29711
State,New Hampshire,<1,2000,Number,14147
State,New Jersey,<1,2000,Number,111758
State,New Mexico,<1,2000,Number,26765
State,New York,<1,2000,Number,246751
State,North Carolina,<1,2000,Number,112027
State,North Dakota,<1,2000,Number,7700
State,Ohio,<1,2000,Number,149663
State,Oklahoma,<1,2000,Number,47989
State,Oregon,<1,2000,Number,44749
State,Pennsylvania,<1,2000,Number,142568
State,Rhode Island,<1,2000,Number,12351
State,South Carolina,<1,2000,Number,54540
State,South Dakota,<1,2000,Number,10324
State,Tennessee,<1,2000,Number,75874
State,Texas,<1,2000,Number,337037
State,Utah,<1,2000,Number,45201
State,Vermont,<1,2000,Number,6423
State,Virginia,<1,2000,Number,93863
State,Washington,<1,2000,Number,78825
State,West Virginia,<1,2000,Number,20292
State,Wisconsin,<1,2000,Number,68190
State,Wyoming,<1,2000,Number,6183
Territory,Puerto Rico,<1,2000,Number,57837
Territory,Puerto Rico,<1,2001,Number,57280
State,Wyoming,<1,2001,Number,6176
State,Wisconsin,<1,2001,Number,68939
State,West Virginia,<1,2001,Number,20543
State,Washington,<1,2001,Number,80803
State,Virginia,<1,2001,Number,98243
State,Vermont,<1,2001,Number,6555
State,Utah,<1,2001,Number,46153
State,Texas,<1,2001,Number,360971
State,Tennessee,<1,2001,Number,78463
State,South Dakota,<1,2001,Number,10217
State,South Carolina,<1,2001,Number,55996
State,Rhode Island,<1,2001,Number,12464
State,Pennsylvania,<1,2001,Number,144877
State,Oregon,<1,2001,Number,45629
State,Oklahoma,<1,2001,Number,48729
State,Ohio,<1,2001,Number,152664
State,North Dakota,<1,2001,Number,7432
State,North Carolina,<1,2001,Number,119054
State,New York,<1,2001,Number,252724
State,New Mexico,<1,2001,Number,27024
State,New Jersey,<1,2001,Number,111847
State,New Hampshire,<1,2001,Number,14840
State,Nevada,<1,2001,Number,31451
State,Nebraska,<1,2001,Number,24517
State,Montana,<1,2001,Number,10844
State,Missouri,<1,2001,Number,75252
State,Mississippi,<1,2001,Number,42545
State,Minnesota,<1,2001,Number,67988
State,Michigan,<1,2001,Number,134204
State,Massachusetts,<1,2001,Number,80654
State,Maryland,<1,2001,Number,73227
State,Maine,<1,2001,Number,13796
State,Louisiana,<1,2001,Number,65338
State,Kentucky,<1,2001,Number,54981
State,Kansas,<1,2001,Number,38684
State,Iowa,<1,2001,Number,37930
State,Indiana,<1,2001,Number,87279
State,Illinois,<1,2001,Number,182014
State,Idaho,<1,2001,Number,20753
State,Hawaii,<1,2001,Number,16759
State,Georgia,<1,2001,Number,133456
State,Florida,<1,2001,Number,205486
City,District of Columbia,<1,2001,Number,7479
State,Delaware,<1,2001,Number,10769
State,Connecticut,<1,2001,Number,42667
State,Colorado,<1,2001,Number,66788
State,California,<1,2001,Number,524357
State,Arkansas,<1,2001,Number,37013
State,Arizona,<1,2001,Number,84721
State,Alaska,<1,2001,Number,9826
State,Alabama,<1,2001,Number,61537
Nation,United States,<1,2001,Number,4012658
Nation,United States,<1,2002,Number,3951461
State,Alabama,<1,2002,Number,58963
State,Alaska,<1,2002,Number,9695
State,Arizona,<1,2002,Number,84886
State,Arkansas,<1,2002,Number,37217
State,California,<1,2002,Number,514905
State,Colorado,<1,2002,Number,66280
State,Connecticut,<1,2002,Number,41994
State,Delaware,<1,2002,Number,10653
City,District of Columbia,<1,2002,Number,7179
State,Florida,<1,2002,Number,204364
State,Georgia,<1,2002,Number,131046
State,Hawaii,<1,2002,Number,16627
State,Idaho,<1,2002,Number,20815
State,Illinois,<1,2002,Number,176591
State,Indiana,<1,2002,Number,84208
State,Iowa,<1,2002,Number,37248
State,Kansas,<1,2002,Number,38496
State,Kentucky,<1,2002,Number,53496
State,Louisiana,<1,2002,Number,64468
State,Maine,<1,2002,Number,13514
State,Maryland,<1,2002,Number,72755
State,Massachusetts,<1,2002,Number,79001
State,Michigan,<1,2002,Number,129825
State,Minnesota,<1,2002,Number,66357
State,Mississippi,<1,2002,Number,40624
State,Missouri,<1,2002,Number,74559
State,Montana,<1,2002,Number,11036
State,Nebraska,<1,2002,Number,24595
State,Nevada,<1,2002,Number,32431
State,New Hampshire,<1,2002,Number,14827
State,New Jersey,<1,2002,Number,112527
State,New Mexico,<1,2002,Number,27182
State,New York,<1,2002,Number,246708
State,North Carolina,<1,2002,Number,116474
State,North Dakota,<1,2002,Number,7502
State,Ohio,<1,2002,Number,146103
State,Oklahoma,<1,2002,Number,49666
State,Oregon,<1,2002,Number,44936
State,Pennsylvania,<1,2002,Number,141144
State,Rhode Island,<1,2002,Number,12338
State,South Carolina,<1,2002,Number,55098
State,South Dakota,<1,2002,Number,10172
State,Tennessee,<1,2002,Number,76362
State,Texas,<1,2002,Number,361300
State,Utah,<1,2002,Number,46769
State,Vermont,<1,2002,Number,6306
State,Virginia,<1,2002,Number,97884
State,Washington,<1,2002,Number,78828
State,West Virginia,<1,2002,Number,20658
State,Wisconsin,<1,2002,Number,68442
State,Wyoming,<1,2002,Number,6407
Territory,Puerto Rico,<1,2002,Number,54121
Territory,Puerto Rico,<1,2003,Number,51637
State,Wyoming,<1,2003,Number,6695
State,Wisconsin,<1,2003,Number,69136
State,West Virginia,<1,2003,Number,20822
State,Washington,<1,2003,Number,79478
State,Virginia,<1,2003,Number,98342
State,Vermont,<1,2003,Number,6447
State,Utah,<1,2003,Number,47508
State,Texas,<1,2003,Number,366137
State,Tennessee,<1,2003,Number,76749
State,South Dakota,<1,2003,Number,10547
State,South Carolina,<1,2003,Number,54528
State,Rhode Island,<1,2003,Number,12641
State,Pennsylvania,<1,2003,Number,142682
State,Oregon,<1,2003,Number,45225
State,Oklahoma,<1,2003,Number,49506
State,Ohio,<1,2003,Number,145994
State,North Dakota,<1,2003,Number,7693
