LocationType,Location,Age group,TimeFrame,DataFormat,Data
State,Arizona,3,2000,Number,5899
State,Arizona,5 years and older,2000,Number,582
State,Arizona,Total,2000,Number,19278
State,Arizona,<3,1998,Number,270
State,Arizona,3,1998,Number,4751
State,Arizona,5 years and older,1998,Number,1165
State,Arizona,4,1998,Number,12330
State,Arizona,Total,1998,Number,18516
State,Arizona,Total,1997,Number,17332
State,Arizona,4,1997,Number,12007
State,Arizona,5 years and older,1997,Number,887
State,Arizona,3,1997,Number,4272
State,Arizona,<3,1997,Number,166
State,Arizona,<3,1996,Number,79
State,Arizona,3,1996,Number,4339
State,Arizona,5 years and older,1996,Number,693
State,Arizona,4,1996,Number,11952
State,Arizona,Total,1996,Number,17063
State,Arizona,Total,1995,Number,17285
State,Arizona,4,1995,Number,11359
State,Arizona,5 years and older,1995,Number,1834
State,Arizona,3,1995,Number,4026
State,Arizona,<3,1995,Number,66
State,Arizona,<3,1994,Number,60
State,Arizona,3,1994,Number,3214
State,Arizona,4,1994,Number,10714
State,Arizona,Total,1994,Number,15215
State,Arizona,5 years and older,1994,Number,1227
State,Arizona,5 years and older,1993,Number,1359
State,Arizona,Total,1993,Number,12754
State,Arizona,4,1993,Number,9140
State,Arizona,3,1993,Number,2153
State,Arizona,<3,1993,Number,102
State,Arizona,5 years and older,1991,Number,1600
State,Arizona,Total,1991,Number,11242
State,Arizona,4,1991,Number,7498
State,Arizona,3,1991,Number,2144
State,Arizona,<3,1991,Number,0
State,Arizona,<3,1992,Number,11
State,Arizona,3,1992,Number,2519
State,Arizona,4,1992,Number,8449
State,Arizona,Total,1992,Number,12132
State,Arizona,5 years and older,1992,Number,1153
State,Arizona,<3,1990,Number,2
State,Arizona,3,1990,Number,2163
State,Arizona,4,1990,Number,7428
State,Arizona,5 years and older,1990,Number,1030
State,Arizona,Total,1990,Number,10623
State,Arkansas,<3,1990,Number,119
State,Arkansas,3,1990,Number,2124
State,Arkansas,4,1990,Number,5055
State,Arkansas,5 years and older,1990,Number,54
State,Arkansas,Total,1990,Number,7352
State,Arkansas,<3,1992,Number,243
State,Arkansas,3,1992,Number,2713
State,Arkansas,4,1992,Number,6374
State,Arkansas,5 years and older,1992,Number,87
State,Arkansas,Total,1992,Number,9417
State,Arkansas,Total,1991,Number,8340
State,Arkansas,5 years and older,1991,Number,82
State,Arkansas,4,1991,Number,5715
State,Arkansas,3,1991,Number,2429
State,Arkansas,<3,1991,Number,114
State,Arkansas,Total,1993,Number,9914
State,Arkansas,5 years and older,1993,Number,47
State,Arkansas,4,1993,Number,6660
State,Arkansas,3,1993,Number,2904
State,Arkansas,<3,1993,Number,303
State,Arkansas,<3,1994,Number,268
State,Arkansas,3,1994,Number,3087
State,Arkansas,4,1994,Number,7025
State,Arkansas,5 years and older,1994,Number,70
State,Arkansas,Total,1994,Number,10450
State,Arkansas,Total,1995,Number,11046
State,Arkansas,5 years and older,1995,Number,185
State,Arkansas,4,1995,Number,7127
State,Arkansas,3,1995,Number,3359
State,Arkansas,<3,1995,Number,375
State,Arkansas,<3,1996,Number,368
State,Arkansas,3,1996,Number,3201
State,Arkansas,4,1996,Number,7203
State,Arkansas,5 years and older,1996,Number,206
State,Arkansas,Total,1996,Number,10978
State,Arkansas,Total,1997,Number,10827
State,Arkansas,5 years and older,1997,Number,51
State,Arkansas,4,1997,Number,6834
State,Arkansas,3,1997,Number,3542
State,Arkansas,<3,1997,Number,400
State,Arkansas,<3,1998,Number,419
State,Arkansas,3,1998,Number,3973
State,Arkansas,4,1998,Number,6426
State,Arkansas,5 years and older,1998,Number,542
State,Arkansas,Total,1998,Number,11360
State,Arkansas,<3,2000,Number,675
State,Arkansas,3,2000,Number,4167
State,Arkansas,4,2000,Number,6918
State,Arkansas,5 years and older,2000,Number,312
State,Arkansas,Total,2000,Number,12072
State,Arkansas,Total,1999,Number,9953
State,Arkansas,5 years and older,1999,Number,72
State,Arkansas,4,1999,Number,5884
State,Arkansas,3,1999,Number,3545
State,Arkansas,<3,1999,Number,452
State,Arkansas,<3,2002,Number,1003
State,Arkansas,3,2002,Number,4436
State,Arkansas,4,2002,Number,7251
State,Arkansas,5 years and older,2002,Number,56
State,Arkansas,Total,2002,Number,12746
State,Arkansas,Total,2001,Number,12375
State,Arkansas,5 years and older,2001,Number,73
State,Arkansas,4,2001,Number,7177
State,Arkansas,3,2001,Number,4310
State,Arkansas,<3,2001,Number,815
